"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"EXGYF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXALL ENERGY CORP","N","N","Canada","Exall Energy Corp."
"EXHI","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","EXLITES HOLDINGS INTL INC","N","N","USA","Exlites Holdings International, Inc."
"EXHTF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","DIAXONHIT","N","N","","Diaxonhit"
"EXIXF","Grey Market","15/10/2014","Grey Market","N","Preferred Stock","","ENERGY XXI (BERMUDA)5.625","N","N","Bermuda","Energy XXI (Bermuda) Limited"
"EXLA","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","HELMER DIRECTIONAL DRILL","N","N","USA","Helmer Directional Drilling Corp."
"EXLLF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","EXCELLON RES INC NEW","N","N","Canada","Excellon Resources Inc."
"EXMGF","OTC Link","15/10/2014","OTCQX International","N","Ordinary Shares","","EXCELSIOR MINING CORP","N","N","Canada","Excelsior Mining Corp."
"EXMRF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXMAR SA ANTWERP ORD SHS","N","N","","Exmar S.A."
"EXMT","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","ANYTHING TECHS MED INC","N","N","USA","Anything Technologies Media Inc."
"EXMXF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXCALIBUR MINING CORP LTD","N","N","Australia","Excalibur Mining Corp., Ltd."
"EXNT","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","ENXNET INC","N","N","USA","EnXnet, Inc."
"EXNZF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXALENZ BIOSCIENCE ORD","N","N","","Exalenz Bioscience Ltd."
"EXOSF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","EXOR SPA SHS","N","N","Italy","Exor S.p.a."
"EXOXF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXO U INC.","N","N","","Exo U Inc."
"EXPGF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","EXPERIAN PLC ORD","N","N","Ireland","Experian plc"
"EXPGY","OTC Link","15/10/2014","OTCQX International Premier","N","American Depository Receipts","","EXPERIAN PLC S/ADR","N","N","Ireland","Experian plc"
"EXPH","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","EXPO HOLDING INC","N","N","USA","Expo Holdings, Inc."
"EXPI","OTC Link","15/10/2014","OTCQB","N","Common Stock","","EXP REALTY INTL CORP","N","N","USA","eXp Realty International Corp"
"EXPL","OTC Link","15/10/2014","OTCQB","N","Common Stock","","ENDURANCE EXPL GROUP","N","N","USA","Endurance Exploration Group, Inc."
"EXPZF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXPLORATION KNICK INC","N","N","Canada","Exploration Knick Inc."
"EXQNF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXIQON AS","N","N","Denmark","Exiqon AS"
"EXRG","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","ECOLOGIX RESOURCE GRP","N","N","USA","Ecologix Resource Group, Inc."
"EXSFF","OTC Link","15/10/2014","OTCQX International","N","Ordinary Shares","","EXPLOR RESOURCES INC NEW","N","N","Canada","Explor Resources Inc."
"EXSL","OTC Link/BB","15/10/2014","OTC Pink Current","N","Common Stock","","EXCELSIS INVESTMENTS INC","N","N","USA","Excelsis Investments Inc."
"EXSO","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","CONSOL ECO-SYSTEMS INC","N","N","USA","Consolidated Eco-Systems, Inc."
"EXSR","OTC Link","15/10/2014","OTCQB","N","Common Stock","","EXCHANGE BK SANTA ROSA","N","N","USA","Exchange Bank (Santa Rosa, CA)"
"EXTDF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EUROPEAN EX TRADED ORD","N","N","Ireland","iShares II plc."
"EXTF","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","EXTREME FITNESS INC","N","N","USA","Extreme Fitness, Inc."
"EXTHF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXACT HOLDING NV","N","N","The Netherlands","Exact Holding NV"
"EXXAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXXARO RES LTD ORD","N","N","South Africa","Exxaro Resources Ltd."
"EXXAY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","EXXARO RES LTD S/ADR","N","N","South Africa","Exxaro Resources Ltd."
"EXYSF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EXPANSYS PLC SHS","N","N","","Expansys Plc"
"EYGGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ELECTRICITY GNRTNG ORD","N","N","Thailand","Electricity Generating Public Co., Ltd."
"EYGPF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ELECTRICITY GNRTNG SER116","N","N","Thailand","Electricity Generating Public Co., Ltd."
"EYGUL","Grey Market","15/10/2014","Grey Market","N","Preferred Stock","A","ENTERGY GULF ST 8.25 144A","N","N","USA","Entergy Gulf States, Inc."
"EYII","OTC Link","15/10/2014","OTC Pink No Information","Y","Common Stock","","EYI INDUSTRIES INC","N","N","Canada","EYI Industries, Inc."
"EYMSM","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","ENTERGY MISS 4.92 PR","N","N","USA","Entergy Mississippi, Inc."
"EYMSN","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","ENTERGY MISS 4.36 PR","N","N","USA","Entergy Mississippi, Inc."
"EYMSP","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","ENTERGY MISS 4.56 PR","N","N","USA","Entergy Mississippi, Inc."
"EYMTF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ENERGY METALS LTD ORD","N","N","Australia","Energy Metals Ltd."
"EYMXP","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","ENTERGY MISS 6.25% PR","N","N","USA","Entergy Mississippi, Inc."
"EYNON","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","ENTERGY NEW ORLNS 5.56 PR","N","N","USA","Entergy New Orleans, Inc."
"EYNOO","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","ENTERGY NEW ORLNS 43/4 PR","N","N","USA","Entergy New Orleans, Inc."
"EYNOP","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","ENTERGY NEW ORLNS 4.36 PR","N","N","USA","Entergy New Orleans, Inc."
"EYSI","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","EASY SCRIPTS INC","N","N","USA","Easy Scripts Inc."
"EYUBY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ELECTRICITY GNRTNG ADR","N","N","Thailand","Electricity Generating Public Co., Ltd."
"EYUUF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ELECTRICITY GNRTNG N/VTG","N","N","Thailand","Electricity Generating Public Co., Ltd."
"EZENQ","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","EZENIA! INC","N","N","USA","Ezenia! Inc."
"EZIDF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","EZION HOLDINGS LTD ORD","N","N","Singapore","Ezion Holdings Limited"
"EZJR","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","EZJR INC","N","N","USA","EZJR Inc."
"EZRHF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EZRA HOLDINGS LTD ORD","N","N","Singapore","Ezra Holdings, Ltd."
"EZRHY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","EZRA HOLDINGS UNSP/ADR","N","N","Singapore","Ezra Holdings, Ltd."
"EZRT","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","ENERGIZER TENNIS INC","N","N","United Kingdom","Energizer Tennis, Inc."
"EZTD","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","EZTRADER INC","N","N","Israel","EZTrader, Inc."
"EZYYF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","EZYBONDS UK PLC ORD","N","N","","Ezybonds UK PLC"
"FABK","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST ADVANTAGE BANCORP","N","N","USA","First Advantage Bancorp."
"FABP","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FRMRS BANCORP (IND)","N","N","USA","Farmers Bancorp"
"FABR","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST ALLIANCE BANCSHARES","N","N","USA","First Alliance Bancshares, Inc."
"FABU","Grey Market","15/10/2014","Grey Market","N","Common Stock","","FAB UNIVERSAL CORP","N","N","USA","FAB Universal Corp."
"FACDF","Grey Market","15/10/2014","Grey Market","N","Fund","","FIRST ASSET DVSFD C/D FD","N","N","","First Asset Diversified Convertible Debentures Fund"
"FACYF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FANCL CORP YOKOHAMA ORD","N","N","","Fancl Corp. (Yokahama, Japan)"
"FADCF","Grey Market","15/10/2014","Grey Market","N","Fund","","FIRST ASSET CDN D/O FD","N","N","","First Asset Canadian Dividend Opportunity Fund"
"FAFL","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FIRST AMERICANO FINCL CP","N","N","USA","First Americano Financial Corp. (Elizabeth, NJ)"
"FAHLF","OTC Link","15/10/2014","OTCQB","N","Ordinary Shares","","FIRST ASIA HOLDINGS LTD","N","N","Hong Kong","First Asia Holdings Limited"
"FAHO","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST AMERICA HOLDINGS CO","N","N","USA","First America Holdings Corp."
"FAIT","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST AMERICAN INTL CORP","N","N","USA","First American International Corporation"
"FAKC","Grey Market","15/10/2014","Grey Market","N","Common Stock","","FACEKEY CORP NEW","N","N","USA","FaceKey Corp."
"FAMDF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FUTURA MEDICAL PLC ORD","N","N","","Futura Medical Plc"
"FAME","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FLAMEMASTER CORP","N","N","USA","Flamemaster Corp. (The)"
"FAMG","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST AMERICAN GROUP INC","N","N","USA","First American Group Inc"
"FAMH","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","FIRAMADA INC","N","N","","Firamada Inc."
"FANDY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","FIRSTRAND LTD UNSP/ADR","N","N","South Africa","Firstrand Limited"
"FANUF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","FANUC LTD","N","N","Japan","Fanuc Corporation"
"FANUY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","FANUC CORP UNSP/ADR","N","N","Japan","Fanuc Corporation"
"FAPLF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FLYING A PETROLEUM NEW","N","N","Canada","Flying A Petroleum Ltd."
"FAPPF","Grey Market","15/10/2014","Grey Market","N","Fund","","FIRST ASSET PIPES&PWR I/F","N","N","","First Asset Pipes & Pwr Income Fd"
"FAPXF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FULL APES HOLDINGS LTD","N","N","","Full Apex Holdings, Ltd."
"FARE","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","WORLD MOTO INC","N","N","Thailand","World Moto, Inc."
"FARYF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","FAR LTD","N","N","Australia","Far LTD"
"FARYY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","FAR LTD ADR","N","N","Australia","Far LTD"
"FASC","OTC Link","15/10/2014","OTC Pink No Information","Y","Common Stock","","FIRST AMER SCIENTIFIC CRP","N","N","Canada","First American Scientific Corp."
"FASGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FSA GROUP LTD ORD","N","N","","FSA Group Ltd."
"FASV","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","FIRST AMERICAN SILVER CRP","N","N","USA","First American Silver Corp"
"FAXRF","Grey Market","15/10/2014","Grey Market","N","Preferred Stock","G","FAIRFAX FINCL HLDGS PFD G","N","N","Canada","Fairfax Financial Holdings Ltd."
"FBAK","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST NB ALASKA","N","N","USA","First National Bank Alaska (Anchorage)"
"FBASF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","DEUTSCHE BANK MEX REIT","N","N","Mexico","Deutsche Bank Mexico SA Real Estate Investment Trust"
"FBAYF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FORTUNE BAY CORP","N","N","","Fortune Bay Corp"
"FBBF","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","FREEDOM BANK BRADENTON FL","N","N","USA","Freedom Bank (Bradenton, FL)"
"FBBN","OTC Link","15/10/2014","OTCQB","N","Common Stock","","BANK OF STHN CALIF NA","N","N","USA","Bank of Southern California, National Association"
"FBCD","OTC Link","15/10/2014","OTC Pink Limited","N","Common Stock","","FBC HOLDING INC","N","N","USA","FBC Holding, Inc."
"FBCE","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FIBERCORE INC","N","N","USA","FiberCore, Inc."
"FBCI","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FIRST BANKING CENTER INC","N","N","USA","First Banking Center, Inc."
"FBCNP","Grey Market","15/10/2014","Grey Market","N","Preferred Stock","","FIRST CTZNS BNCRP INC PFD","N","N","USA","First Citizens Bancorporation, Inc."
"FBCP","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FOUNDERS BANCORP (CA)","N","N","USA","Founders Bancorp"
"FBDHF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FBD HOLDINGS PLC ORD","N","N","Ireland","FBD Holdings Plc"
"FBDHY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","FBD HOLDINGS PLC UNSP/ADR","N","N","Ireland","FBD Holdings Plc"
"FBEC","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","FRONTIER BEVERAGE CO","N","N","USA","Frontier Beverage Company, Inc."
"FBFS","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FIRSTBANK FINCL SVCS (GA)","N","N","USA","FirstBank Financial Services, Inc."
"FBGBF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FABEGE AB ORD","N","N","Sweden","Fabege AB"
"FBGBY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","FABEGE AB UNSP/ADR","N","N","Sweden","Fabege AB"
"FBILF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FUTABA INDUSTRIAL","N","N","","Futaba Industrial"
"FBIP","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FNB BANCORP INC NEWTON PA","N","N","USA","FNB Bancorp, Inc."
"FBJSY","Grey Market","15/10/2014","Grey Market","N","Global Depository Receipts","","FORUM BK JT STK C/B S/GDR","N","N","","Forum Bank Joint Stock Commercial Bank"
"FBKIF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FIRST INTL BANK OF ISRAEL","N","N","","First International Bank of Israel"
"FBLQ","Grey Market","15/10/2014","Grey Market","N","Common Stock","","FOOTBALL EQUITIES INC","N","N","USA","Football Equities, Inc."
"FBMCF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","BUFFALO COAL CORP.","N","N","Canada","Buffalo Coal Corp."
"FBOHF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FORBO HOLDING AG SHS","N","N","Switzerland","Forbo Holdings AG"
"FBOHY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","FORBO HOLDING UNSP/ADR","N","N","Switzerland","Forbo Holdings AG"
"FBOO","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST BANK OF OHIO (OH)","N","N","USA","First Bank of Ohio (Tiffin, OH)"
"FBOP","Grey Market","15/10/2014","Grey Market","N","Common Stock","","AUGUSTA INDUSTRIES INC","N","N","","Augusta Industries, Inc."
"FBPA","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FRMRS BK APPOMATTO","N","N","USA","Farmers Bank of Appomattox (VA)"
"FBPI","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","FIRST BANCORP INDIANA","N","N","USA","First Bancorp of Indiana, Inc."
"FBPRL","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","FIRST BANCORP 7% E PERP","N","N","USA","First BanCorp"
"FBPRM","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","FIRST BANCORP 7.40 PFD C","N","N","USA","First BanCorp"
"FBPRN","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","FIRST BANCORP 7.25 PFD D","N","N","USA","First BanCorp"
"FBPRO","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","FIRST BANCORP 8.35 PFD B","N","N","USA","First BanCorp"
"FBPRP","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","FIRST BANCORP 7.125% A","N","N","USA","First BanCorp"
"FBSI","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST BANCSHS INC MO","N","N","USA","First Bancshares, Inc."
"FBSW","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST NATL BNKSHS CORP","N","N","USA","First National Bankshares Corp."
"FBTN","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FREEBUTTON INC","N","N","USA","FreeButton, Inc."
"FBTT","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST BANKERS TRUSTSHARES","N","N","USA","First Bankers Trustshares, Inc."
"FBTXQ","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FRANKLIN BANK CORP","N","N","USA","Franklin Bank Corp."
"FBVA","Grey Market","15/10/2014","Grey Market","N","Common Stock","","FARMERS BANKSHARES INC","N","N","USA","Farmers Bankshares Inc. (VA)"
"FBVC","Grey Market","15/10/2014","Grey Market","N","Common Stock","","FIRE MTN BEVERAGE CO","N","N","USA","Fire Mountain Beverage Company"
"FBVI","Grey Market","15/10/2014","Grey Market","N","Common Stock","","FCN BANC (BROOKSVLLE IN)","N","N","USA","FCN Banc Corp"
"FBWBF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FIBERWEB PLC ORD","N","N","","Fiberweb plc"
"FCAA","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FICAAR INC","N","N","USA","Ficaar, Inc."
"FCAFY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","F & C ASSET MGMT UNSP/ADR","N","N","","F & C Asset Management Plc"
"FCBE","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FCB BANCORP INC (KY)","N","N","USA","FCB Bancorp, Inc."
"FCBF","Grey Market","15/10/2014","Grey Market","N","Common Stock","","FCB FINANCIAL INC","N","N","USA","FCB Financial, Inc."
"FCBI","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FREDERICK COUNTY BNCP INC","N","N","USA","Frederick County Bancorp, Inc."
"FCBK","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST CHOICE BK CERRITOS","N","N","USA","First Choice Bank Cerritos CA"
"FCBS","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","FIRST CENTURY BNKSHS INC","N","N","USA","First Century Bankshares, Inc."
"FCCG","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FOG CUTTER CAP GROUP INC","N","N","USA","Fog Cutter Capital Group, Inc."
"FCCN","OTC Link","15/10/2014","OTCQB","N","Common Stock","","SPECTRAL CAPITAL CORP","N","N","USA","Spectral Capital Corp."
"FCCT","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST COMMUNITY CORP (TN)","N","N","USA","First Community Corp. (TN)"
"FCCTO","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST CMNTY CRP PR B (TN)","N","N","USA","First Community Corp. (TN)"
"FCCTP","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST CMNTY CRP PR A (TN)","N","N","USA","First Community Corp. (TN)"
"FCELB","OTC Link","15/10/2014","OTCQB","N","Preferred Stock","","FUELCELL ENERGY INC PFD B","N","N","USA","FuelCell Energy, Inc."
"FCEN","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","FALCON CREST ENERGY INC","N","N","Canada","Falcon Crest Energy Inc."
"FCEPP","Grey Market","15/10/2014","Grey Market","N","Preferred Stock","A","FOREST CITY ENTERPRS 7% A","N","N","USA","Forest City Enterprises, Inc."
"FCGA","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FIRST COMM COMMUTY BNKSH","N","N","USA","First Commerce Community Bankshares, Inc."
"FCGD","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST COLOMBIA GLD CORP","N","N","USA","First Colombia Gold Corp."
"FCGN","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FCG INC","N","N","USA","FCG, Inc."
"FCGYF","Grey Market","15/10/2014","Grey Market","N","Fund","","VERESEN INC ORD","N","N","Canada","Veresen, Inc."
"FCHAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FRANCHISE SVCS N. AMERICA","N","N","USA","Franchise Services North America Inc."
"FCHS","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST CHOICE HLTHCRE INC","N","N","USA","First Choice Healthcare Solutions, Inc."
"FCIC","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FCCC INC","N","N","USA","FCCC, Inc."
"FCIT","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST CITRUS BANCORP","N","N","USA","First Citrus Bancorporation, Inc."
"FCMGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FIRM CAP MTG INVST CORP","N","N","Canada","Firm Capital Mortgage Investment Corp"
"FCMKF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","FUNCOM NV ORD","N","N","The Netherlands","Funcom NV"
"FCMP","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST CMNTY FINCL PTNRS","N","N","USA","First Community Financial Partners, Inc."
"FCMUF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FAN COMMUNICATIONS INC","N","N","","Fan Communications, Inc."
"FCNCB","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","B","FIRST CTZNS BANCSHS B","N","N","USA","First Citizens BancShares, Inc."
"FCNE","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FOUR CORNERS INC","N","N","USA","Four Corners, Inc."
"FCNH","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST COLEBROOK BNCRP INC","N","N","USA","First Colebrook Bancorp, Inc."
"FCOB","OTC Link","15/10/2014","OTCQB","N","Common Stock","","1ST COLONIAL BANCORP INC","N","N","USA","1st Colonial Bancorp, Inc."
"FCODF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FINANCIERE DE L'ODET","N","N","","Financiere De L'Odet"
"FCOGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FRENCH CONNECTION GRP PLC","N","N","United Kingdom","French Connection Group plc"
"FCPA","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FINANCE CO OF PA","N","N","USA","Finance Company of Pennsylvania (The)"
"FCPB","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIRST CAPITAL BNCSHS SC","N","N","USA","First Capital Bancshares, Inc."
"FCPG","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FIRST CHINA PHARMA GROUP","N","N","China","First China Pharmaceutical Group, Inc."
"FCPN","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","FIRST CAP INTL INC","N","N","USA","First Capital International, Inc."
"FCPS","OTC Link","15/10/2014","OTC Pink Limited","N","Common Stock","","FULUCAI PRODUCTIONS LTD","N","N","Canada","Fulucai Productions Ltd"
"FCRDF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","ICHIGO REAL EST INC ORD","N","N","","Ichigo Real Estate Investment Corp."
"FCREY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","FLETCHER BLDG SP/ADR","N","N","New Zealand","Fletcher Building Ltd."
"FCRGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FIRST CAPITAL REALTY INC","N","N","Canada","First Capital Realty Inc."
"FCRM","Grey Market","15/10/2014","Grey Market","N","Common Stock","","FRANKLIN CREDIT MGMT CORP","N","N","USA","Franklin Credit Management Corp."
"FCSB","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FOCUS BUSINESS BANK (CA)","N","N","USA","Focus Business Bank (San Jose CA)"
"FCSMF","OTC Link","15/10/2014","OTCQX International","N","Ordinary Shares","","FOCUS GRAPHITE INC ORD","N","N","Canada","Focus Graphite, Inc."
"FCSOF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MAXSEC GROUP LTD ORD","N","N","","Maxsec Group Ltd."
"FCTOA","OTC Link","15/10/2014","OTC Pink No Information","Y","Common Stock","A","FACT CORP A","N","N","USA","FACT Corp."
"FCTXZ","Grey Market","15/10/2014","Grey Market","N","Common Stock","","FARM CRED BK PFD B SER 2","N","N","","Farm Credit Bank"
"FCUUF","OTC Link","15/10/2014","OTCQX International","N","Ordinary Shares","","FISSION URANIUM CORP ORD","N","N","Canada","Fission Uranium Corp."
"FCUV","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","FOCUS UNIVERSAL INC","N","N","USA","Focus Universal, Inc."
"FCWT","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FIRST COWETA BK (GA)","N","N","USA","First Coweta Bank (Newnan, GA)"
"FDBAY","Grey Market","15/10/2014","Grey Market","N","Global Depository Receipts","","FEDERAL BK LTD S/GDR 144A","N","N","","Federal Bank Ltd."
"FDBC","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIDELITY D&D BANCORP INC","N","N","USA","Fidelity D&D Bancorp, Inc."
"FDCFF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FORUM URANIUM CRP ORD NEW","N","N","Canada","Forum Uranium Corp."
"FDDXD","BB","15/10/2014","FINRA BB Only","N","Preferred Stock","","FED NTL MTGE ASSN5.52D PR","N","N","USA","Fannie Mae"
"FDEI","OTC Link","15/10/2014","OTC Pink No Information","Y","Common Stock","","FIDELIS ENERGY INC","N","N","USA","Fidelis Energy, Inc."
"FDFT","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","FOODFEST INTL 2000 INC","N","N","USA","Foodfest International 2000, Inc."
"FDGMF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","TANGO GOLD MINES INC","N","N","Canada","Tango Gold Mines Inc."
"FDGRF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FIDESSA GROUP PLC ORD","N","N","United Kingdom","Fidessa Group Plc"
"FDGRY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","FIDESSA GROUP PLC U/ADR","N","N","United Kingdom","Fidessa Group Plc"
"FDHC","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","FIDELITY HOLDING CORP","N","N","USA","Fidelity Holding Corp."
"FDIAY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","UNIPOLSAI ASICUR UNSP/ADR","N","N","","UnipolSai Assicurazioni Spa"
"FDLB","OTC Link","15/10/2014","OTCQB","N","Common Stock","","FIDELITY FEDERAL BANCORP","N","N","USA","Fidelity Federal Bancorp"
