"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"MTFSF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","METALFRIO SOLUTIONS ORD","N","N","","Metalfrio Solutions SA"
"MTGB","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","MEETINGHOUSE BANCORP INC","N","N","USA","Meetinghouse Bancorp Inc."
"MTGDY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","ECR MINERALS PLC S/ADR","N","N","United Kingdom","ECR Minerals Plc"
"MTGRF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MOUNT GIBSON IRON LTD ORD","N","N","Australia","Mount Gibson Iron Ltd."
"MTGRY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MOUNT GIBSN IRON UNSP/ADR","N","N","Australia","Mount Gibson Iron Ltd."
"MTHRF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","M3 INC ORD","N","N","","M3, Inc."
"MTHVY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","METHVEN LIMITED UNSP/ADR","N","N","","Methven Limited"
"MTKAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","METKA SA ORD","N","N","","Metka Sa"
"MTKAY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","METKA SA UNSP/ADR","N","N","","Metka Sa"
"MTLCF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","METALCORP LTD ORD","N","N","Canada","Metalcorp Ltd."
"MTLFF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","METALLIS RESOURCES INC","N","N","","Metallis Resources, Inc."
"MTLHF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MITSUBISHI CHEM HDGS CORP","N","N","Japan","Mitsubishi Chemical Holdings Corp."
"MTLHY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MITSUBISHI C/H UNSP/ADR","N","N","Japan","Mitsubishi Chemical Holdings Corp."
"MTLI","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","METALINE CONTACT MINES","N","N","USA","Metaline Contact Mines"
"MTLK","OTC Link","15/10/2014","OTCQB","N","Ordinary Shares","","METALINK LTD","N","N","Israel","Metalink Ltd."
"MTLQU","OTC Link","15/10/2014","OTC Pink Current","N","Units","","MOTORS LIQUIDATION CO GUC","N","N","USA","Motors Liquidation Company GUC Trust"
"MTLRF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","METALORE RESOURCES LTD","N","N","Canada","Metalore Resources Limited"
"MTMC","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MTM TECHNOLOGIES INC","N","N","USA","MTM Technologies, Inc."
"MTMS","Grey Market","15/10/2014","Grey Market","N","Common Stock","","MATTMAR MINERALS INC NEW","N","N","USA","MattMar Minerals, Inc."
"MTMW","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","MATMOWN INC","N","N","USA","Matmown, Inc."
"MTNB","OTC Link","15/10/2014","OTCQB","N","Common Stock","","MATINAS BIOPHARMA HLDGS","N","N","USA","Matinas Biopharma Holdings, Inc."
"MTNN","Grey Market","15/10/2014","Grey Market","N","Common Stock","","METARUNNER INC","N","N","","Metarunner, Inc."
"MTNOF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","MTN GROUP LTD ORD","N","N","South Africa","MTN Group Ltd."
"MTNOY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MTN GROUP LTD S/ADR","N","N","South Africa","MTN Group Ltd."
"MTNX","Grey Market","15/10/2014","Grey Market","N","Common Stock","","MELTRONIX INC","N","N","USA","Meltronix, Inc."
"MTOAF","OTC Link","15/10/2014","OTC Pink No Information","N","Ordinary Shares","A","METRO INTL SA A","N","N","Luxembourg","Metro International SA"
"MTOMF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","FIRST GROWTH FUNDS ORD","N","N","Australia","First Growth Funds Ltd."
"MTPH","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","MITOPHARM CORP","N","N","USA","MitoPharm Corp."
"MTPOF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","METROPOLITAN BK&TR","N","N","Philippines","Metropolitan Bank & Trust"
"MTPOY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","METROPOLITAN B&T UNSP/ADR","N","N","Philippines","Metropolitan Bank & Trust"
"MTPP","Grey Market","15/10/2014","Grey Market","N","Common Stock","","MOUNTAIN TOP PPTYS INC","N","N","USA","Mountain Top Properties, Inc."
"MTPR","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","METAPOWER INTL INC NEW","N","N","USA","MetaPower International, Inc."
"MTPSW","Grey Market","15/10/2014","Grey Market","N","Warrants","","MAST THERAPEUTICS 16 WTS","N","N","USA","Mast Therapeutics, Inc."
"MTPVY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","METROPOLE TV UNSP/ADR","N","N","France","Metropole Television SA"
"MTRAF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","A","METRO INC A","N","N","Canada","Metro, Inc."
"MTRCY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","MAIRE TECNIMONT ADR","N","N","","Maire Tecnimont S.P.A."
"MTRE","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MARKET & RESEARCH CORP","N","N","USA","Market & Research Corp."
"MTRJF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MTR CORP LTD","N","N","Hong Kong","MTR Corporation Ltd."
"MTRJY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MTR CORP LTD S/ADR","N","N","Hong Kong","MTR Corporation Ltd."
"MTRO","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","METRO ONE DEV INC NEW","N","N","USA","Metro One Development, Inc."
"MTRT","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","METAL ARTS CO INC","N","N","USA","Metal Arts Company, Inc."
"MTSAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","B","METSA BOARD CORP B","N","N","","Metsa Board Corp"
"MTSFF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MITSUI FUDOSAN CO LTD","N","N","Japan","Mitsui Fudosan Co., Ltd."
"MTSFY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MITSUI FUDOSAN UNSP/ADR","N","N","Japan","Mitsui Fudosan Co., Ltd."
